id;Title;Content;Date;Post Type;Langues;Thématiques;Utilisateurs;Écoles;Status
2133;Un certificat médical peut-il excuser une absence?;"Non, en cas de problèmes de santé, seul un bulletin d'hospitalisation peut excuser une absence. Pour toute autre raison d'ordre médicale (rendez-vous, certificat médical) vous disposez d'un quota de 18 absences que vous pouvez utiliser comme vous le souhaitez.

Pour <strong>Executive Education</strong> :

- pour les apprenants hors contrats pro et hors contrats d'apprentissage : certificat médical autorisé

- pour les apprenants en alternance (contrats pro et contrats d'apprentissage) : seul un arrêt de travail est valable.

&nbsp;";2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2134;Un rendez-vous médical peut-il excuser une absence?;"Non, en cas de problèmes de santé, seul un bulletin d'hospitalisation peut excuser une absence. Pour tout autre raisons d'ordre médicales (rendez-vous, certificat médical) vous disposez d'un quota de 18 absences que vous pouvez utiliser comme vous le souhaitez.

Pour <strong>Executive Education</strong> :

- Seul un bulletin d'hospitalisation peut excuser une absence pour RDV médical.

Tout autre raison d'ordre médical (rendez-vous, certificat médical) vous disposez d'un quota de 10 demi-journées d'absences.

&nbsp;";2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2135;Quel est le quota d'absence autorisée par semestre?;"Vous disposez d'un quota de 18 absences autorisées par semestre. Au-delà, vous recevez un mail d'avertissement et un commentaire est inscrit sur votre bulletin. A la 29ème absence vous perdez la compensation entre les modules. A la 39ème absence, vous êtes convoqué en conseil de discipline.

Pour <strong>Executive Education</strong> :

Vous disposez d'un quota de 10 demi-journées d'absences autorisées pour l'année académique.

Au-delà, vous recevrez un mail demandant de justifier vos absences et une convocation administrative vous sera transmise.";2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2136;Quelle est la conséquence d'une évaluation lors d'une abence non excusée?;Si vous avez une évaluation au moment d'une absence non-excusée par le règlement, la note de zéro vous est attribuée. Nous n'organisons pas d'épreuve de substitution.;2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV;publish
2137;Quelle est la conséquence d'une évaluation lors d'une absence excusée?;Si vous avez une évaluation au moment d'une absence excusée, aucun zéro n'est attribué. La note est neutralisée et la moyenne du module est calculée à partir des autres notes qui le composent.;2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV;publish
2138;Un retard est-il compté comme une absence?;Un retard équivaut à une absence et est comptabilisé comme telle. L'enseignant peut vous accepter en cours, s'il le souhaite afin que vous puissiez suivre mais l'absence est conservée.;2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;ESILV;publish
2139;J'ai oublié d'émarger, comment puis-je régulariser mon absence?;Nous tenons à responsabiliser les étudiants. Ainsi, si vous oubliez d'émarger, vous conservez l'absence sans aucune possibilité de régularisation.;2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;ESILV|EXECUTIVE;publish
2140;Quelles sont les absences excusées pour les apprentis ?;"Aucune absence n'est excusée par le règlement pour les apprentis. Vous êtes salarié, en ce sens, les mêmes règles s'appliquent que celles en vigueur dans le monde de l'entreprise à savoir en cas d'absence, vous devrez présentez un arrêt de travail.

&nbsp;";2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2141;Quelle est la procédure pour déposer un justificatif?;"Lorsque vous êtes connecté à votre plateforme, vous devez allez dans l'onglet ""scolarité"" et sélectionner ""absences"" puis ""ajouter un justificatif d'abence"".";2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2142;Quel seuil d'absence entraine la perte de compensation?;A la 29 ème absence du semestre, vous perdez les compensations entre les modules.;2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV;publish
2143;Qu'est-ce qu'une fraude à l'émargement?;Lorsque qu'un étudiant se déclare présent alors qu'il n'est pas physiquement dans la salle. Un émargement suppose un suivi du cours de la 1ère à la dernière minute sans quoi l'étudiant s'expose à une fraude.;2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2144;Est ce qu'un problème de transport est un motif d'absence excusée ?;Un problème de transport n'est pas un motif d'absence et rentre dans le quota de vos absences autorisées. en revanche en période de grève cela dépendra des directives de l'école.;2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;ESILV|EXECUTIVE;publish
2145;Quel est le délai maximum pour déposer un justificatif sur le portail?;L'étudiant dipose de 7 jours ouvrables pour déposer un justificatrif sur la plateforme. Il sera ensuite validé ou non par la scolarité.;2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;ESILV|EXECUTIVE;publish
2146;Puis-je être excusé pour participer aux activités associatives?? ;Les étudiants membres d’une association peuvent être excusés de cours, dans la limite de leur quota d’absences, lorsqu’ils participent à un évènement associatif, à condition que ce ne soit pas un cours noté, examen ou pendant une semaine transverse. La Vie Associative veille à ce que ces demandes d’excuses soient systématiquement justifiées. ;2023-09-01;question;Français;Scolarité>Absences;faculty|staff|student;EMLV|ESILV|IIM;publish
2147;Qu'est ce que la carte ISIC ?;La carte d'identité étudiant internationale appelée ISIC vous permet de bénéficier de réductions en France et à l'étranger. Elle est dématérialisée.;2023-09-01;question;Français;Scolarité>Accès;faculty|staff|student;ESILV;publish
2148;Comment prolonger la validité de ma carte ISIC ?;Vous recevez à chaque rentrée un mail de la part de ISIC, Si ce n'est pas le cas, vous pouvez les contacter à l'adresse suivante infos@isic.fr;2023-09-01;question;Français;Scolarité>Accès;faculty|staff|student;EMLV|ESILV;publish
2149;Quel est le process en cas d'oubli de badge d'accès ?;"Vous ne pourrez pas entrer dans le Pole sans badge. Si vous êtes en période d'examen, exceptionnellement vous pourrez contacter votre référent scolarité.

Pour <strong>Executive Education</strong> :

Vous ne pourrez pas entrer au Campus de l'Arche sans badge. Si vous êtes en période d'examen, exceptionnellement vous pourrez contacter votre référent scolarité :  scolarite-executive@devinci.fr";2023-09-01;question;Français;Scolarité>Accès;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2150;En cas de perte ou d'oubli de badge d'accès, comment en obtenir un nouveau?;Pour commander un nouveau badge, connectez-vous à votre compte étudiant, puis allez dans Étudiant > Badges. Cliquez sur « Commander un nouveau badge », puis suivez les instructions de paiement (actuellement uniquement par carte bancaire).;2023-09-01;question;Français;Scolarité>Accès;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2151;Comment puis-je me connecter à mon portail étudiant ?;10 jours avant le début de votre semestre, vous recevrez un email avec votre identifiant, votre mot de passe et le lien pour votre première connexion. Pensez à vérifier vos spams.;2023-09-01;question;Français;Scolarité>Accès;faculty|staff|student;EMLV|ESILV;publish
2152;J'ai oublié le mot de passe de mon portail étudiant. Que dois-je faire ?;"Si vous avez oublié votre mot de passe, vous avez la possibilité de cliquer sur ""mot de passe oublié"" sur la page de connexion afin de réinitialiser votre mot de passe.";2023-09-01;question;Français;Scolarité>Accès;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2153;Quels sont les horaires du batiment?;"Le pôle ouvre à 7h30 et ferme à 21h du lundi au vendredi et de 7h30 à 13h le samedi. Attention, il peut être exeptionnellement fermé à certaines périodes définies dans vos calendriers (été, noël, férié…). Si votre promotion est en congés, le pole est ouvert car d'autres étudiants peuvent avoir cours à cette période.

Pour <strong>Executive Education</strong> :

Le Campus de l'Arche est ouvert de 7 h 30 à 20 h 00.";2023-09-01;question;Français;Scolarité>Accès;faculty|staff|student;EMLV|ESILV|EXECUTIVE|IIM;publish
2154;Comment candidate-t-on au parcours alternance?;Vous pourrez vous positionner via un formulaire transmis par l'équipe en charge de l'alternance (ESILV) ou faire acte de candidature lorsque votre choix de Master vous sera demandé au cours de la 3ème année à l'EMLV.;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV;publish
2155;Quelle sont les périodes d'alternance? Par semaine ou par jour?;ESILV : Lundi mardi en entreprise et mercredi, jeudi et vendredi à l'école - EMLV : 1 semaine par mois;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV;publish
2156;En tant qu'alternant, que se passe-t'il en cas de non-validation de mon année académique ?;En tant qu'alternant, le redoublement n'est pas prévu, dans ce cas, il est soumis à la validation de l'entreprise qui doit accepter de prolonger le contrat d'un an.;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV;publish
2157;En tant qu'alternant dois-je valider une expérience à l'international?;Oui, vous devez valider une expérience de 12 semaines minimum à l'international (ESILV);2023-09-01;question;Français;Alternance;faculty|staff|student;ESILV;publish
2158;En tant qu'alternant quels sont les justificatifs d'absences autorisées?;En tant qu'alternant, vous ne disposez pas de quota d'absence autorisée. Chacune de vos absences doit être justifiée par un arrêt de travail. Vous avez jusqu'à 7 jour maximum impérativement pour faire excuser une absence, au-delà vous conserverez l'absence sans aucune possibilité de négociation.;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2159;En tant qu'alternant suis-je autorisé à participer à un évènement associatif à la place d'un cours?;Vous êtes autorisé à participer aux évènements associatifs en dehors des horaires de travail et de cours.;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV;publish
2160;J'ai trouvé une entreprise, que dois-je faire à présent pour finaliser mon contrat d'alternance?;Vous devez compléter sur le Portail Admissibles votre fiche premier contact avec l'aide de votre entreprise - il est ensuite transmis informatiquement à la DDRE. et au responsable pédagogique de votre alternance.;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2161;Si je n'ai pas cours sur un jour école, dois-je aller en entreprise?;Oui, en tant qu'alternant , si vous n'êtes pas à l'école vous devez être en entreprise.;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2162;En tant qu'alternant quels sont mes droits et mes devoirs?;"Nous vous invitons à consulter le ""guide de l'alternant""";2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2163;A quel moment puis-je poser mes congés?;Vous pouvez les prendre hors des périodes école en accord avec votre entreprise.;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2164;Ai-je droit aux 5 jours de congés de révision ?;Oui, avec l'accord de votre employeur.;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2165;Qui dois-je informer en cas de modifcation des termes du contrat d'apprentissage?;Vous devez contacter le CFA cfa-ilv@devinci.fr en mettant en copie la boite alternance alternance-esilv@devinci.fr ou scolarité-emlv@devinci.fr. Toute modification contractuelle génère un avenant (tuteur, majeure, adresse, …).;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV;publish
2166;Si je dois participer à un évènement entreprise sur un jour école, quelle est la procédure?;"Vous devez contacter l'école via la boite alternance, alternance-esilv@devinci.fr ou le responsable de spécialisation à l'EMLV. Aucune dérogation ne sera accordée si vous êtes en période d'examen ou de rattrapage.

Pour <strong>Executive Education</strong> :

Vous devez contacter le service scolarité : scolarite-executive@devinci.fr et mettre votre directeur de programme en copie de votre demande.

Aucune dérogation ne sera accordée si vous êtes en période d'examens.
<table style=""border-collapse: collapse;width: 1674px;height: 45px"" width=""1790"">
<tbody>
<tr style=""height: 78.75pt"">
<td class=""xl33"" style=""width: 1343pt;height: 78.75pt"" width=""1790"" height=""105""></td>
</tr>
</tbody>
</table>";2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV|EXECUTIVE;publish
2167;En tant qu'alternant , dois-je régler la CVEC?;Oui;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV;publish
2168;Peut-on être alternant et être membre d’une association étudiante??;Un étudiant en alternance peut intégrer une association étudiante. Cependant, il ne pourra pas être excusé de cours pour participer à des évènements associatifs.;2023-09-01;question;Français;Alternance;faculty|staff|student;EMLV|ESILV;publish
2169;L'école autorise t-elle les demandes de césure?;Un élève en formation sous statut d'étudiant peut etre autorisé à interrompre son cycle d'études sur une année universitaire;2023-09-01;question;Français;Scolarité>Césure;faculty|staff|student;EMLV|ESILV;publish
